city,population_proper
"Mineral, IL",227.0
"Paderborn, IL",
"Coal City, IL",5434.0
"Latham, IL",362.0
"Harwood Heights, IL",8549.0
"Morton Grove, IL",23227.0
"Buckner, IL",446.0
"Breese, IL",4511.0
"Long Creek, IL",1298.0
"Cedarville, IL",716.0
"Percy, IL",929.0
"Eddyville, IL",95.0
"Cissna Park, IL",801.0
"Baldwin, IL",346.0
"Tower Lake, IL",1249.0
"Justice, IL",12844.0
"Thornton, IL",2461.0
"Onarga, IL",1304.0
"Lansing, IL",28086.0
"Lisle, IL",22930.0
"McCook, IL",228.0
"Centreville, IL",5035.0
"New Salem, IL",133.0
"Secor, IL",368.0
"Cropsey, IL",
"Tilden, IL",886.0
"Tamms, IL",526.0
"Wayne City, IL",1013.0
"Westmont, IL",24767.0
"Arrowsmith, IL",291.0
"Time, IL",22.0
"Damiansville, IL",498.0
"Freeburg, IL",4234.0
"Alsey, IL",216.0
"Lebanon, IL",4433.0
"Oakwood Hills, IL",2050.0
"Bath, IL",302.0
"Roseville, IL",971.0
"Spring Bay, IL",459.0
"Melrose Park, IL",25229.0
"Media, IL",100.0
"Calhoun, IL",170.0
"Plainfield, IL",42933.0
"Broadview, IL",7823.0
"Hume, IL",360.0
"Noble, IL",661.0
"Apple Canyon Lake, IL",
"Cobden, IL",1124.0
"Carrollton, IL",2421.0
"Joliet, IL",148262.0
"Carterville, IL",5843.0
"Bardolph, IL",240.0
"Riverton, IL",3433.0
"Hamel, IL",813.0
"Prospect Heights, IL",16242.0
"Apple River, IL",351.0
"Yale, IL",85.0
"Camp Point, IL",1114.0
"Phoenix, IL",1947.0
"Thebes, IL",359.0
"Fithian, IL",462.0
"Morton, IL",16287.0
"Wyoming, IL",1373.0
"Coatsburg, IL",145.0
"Horatio Gardens, IL",
"Brookfield, IL",18753.0
"Prophetstown, IL",1992.0
"Lakemoor, IL",5982.0
"Cypress, IL",238.0
"Pecatonica, IL",2111.0
"Frankfort Square, IL",
"Camargo, IL",444.0
"Biggsville, IL",285.0
"Lilymoor, IL",
"Griggsville, IL",1170.0
"Avon, IL",751.0
"Mettawa, IL",568.0
"Wasson, IL",
"Minooka, IL",11254.0
"Augusta, IL",563.0
"Fieldon, IL",225.0
"Lindenhurst, IL",14372.0
"Rome, IL",
"Edwardsville, IL",25071.0
"North Pekin, IL",1557.0
"Clark Center, IL",
"Pittsburg, IL",559.0
"Panola, IL",50.0
"Neponset, IL",440.0
"Glenview, IL",47475.0
"Danvers, IL",1126.0
"Clarendon Hills, IL",8653.0
"Deer Park, IL",3731.0
"Robbs, IL",
"Venetian Village, IL",
"Petersburg, IL",2199.0
"Peru, IL",9893.0
"Poag, IL",
"Elizabeth, IL",739.0
"Vernon Hills, IL",26328.0
"Cornland, IL",
"Sandoval, IL",1220.0
"Streator, IL",13148.0
"Basco, IL",96.0
"Bloomingdale, IL",22075.0
"Creston, IL",642.0
"Fenton, IL",
"Westfield, IL",576.0
"Eldena, IL",
"Normal, IL",54264.0
"Goofy Ridge, IL",
"Collinsville, IL",24635.0
"Monee, IL",5077.0
"Fairbury, IL",3603.0
"Erie, IL",1537.0
"Longview, IL",152.0
"Spillertown, IL",202.0
"Smithton, IL",3763.0
"Neoga, IL",1609.0
"Royal, IL",298.0
"Danforth, IL",570.0
"Diamond, IL",2471.0
"Rolling Meadows, IL",24021.0
"Osman, IL",
"Hoffman, IL",491.0
"Palmer, IL",219.0
"Half Day, IL",
"Emden, IL",473.0
"Litchfield, IL",6812.0
"Blue Mound, IL",1101.0
"Beverly, IL",
"Riverwoods, IL",3638.0
"Rosiclare, IL",1051.0
"Wonder Lake, IL",3899.0
"Concord, IL",163.0
"Stickney, IL",6722.0
"Dolton, IL",22891.0
"Hurst, IL",796.0
"Forreston, IL",1366.0
"Prairie City, IL",363.0
"Wood Dale, IL",13813.0
"Cherry, IL",461.0
"York Center, IL",
"Alto Pass, IL",378.0
"Danville, IL",31597.0
"Dalzell, IL",673.0
"Naples, IL",124.0
"Gurnee, IL",30957.0
"Logan, IL",316.0
"Rockton, IL",7499.0
"Galatia, IL",908.0
"Spaulding, IL",865.0
"Antioch, IL",14274.0
"Somonauk, IL",1882.0
"Hanna City, IL",1225.0
"Hardin, IL",933.0
"Williamsville, IL",1493.0
"Akin, IL",
"Summit, IL",11314.0
"Millbrook, IL",343.0
"Grand Tower, IL",581.0
"Lake Zurich, IL",19967.0
"Burtons Bridge, IL",
"Glenwood, IL",8911.0
"Galena, IL",3255.0
"West Union, IL",
"Peotone, IL",4134.0
"Menominee, IL",245.0
"Owaneco, IL",229.0
"Sibley, IL",260.0
"Hamletsburg, IL",
"Barry, IL",1268.0
"La Salle, IL",9203.0
"Seaton, IL",211.0
"Hull, IL",437.0
"Kansas, IL",737.0
"Lyndon, IL",620.0
"Fisher, IL",1934.0
"Mount Zion, IL",5855.0
"Westview, IL",
"Kappa, IL",237.0
"Lexington, IL",2048.0
"Mount Erie, IL",87.0
"Northfield, IL",5456.0
"Kinsman, IL",97.0
"Arbury Hills, IL",
"Ridgewood, IL",
"Fall Creek, IL",
"South Roxana, IL",1986.0
"New Windsor, IL",
"Orland Park, IL",58862.0
"Germantown Hills, IL",3489.0
"Tilton, IL",2584.0
"Lawrenceville, IL",4441.0
"Manchester, IL",278.0
"Mossville, IL",
"Bellwood, IL",19107.0
"Oak Hills, IL",
"Coffeen, IL",657.0
"Scales Mound, IL",373.0
"Indian Head Park, IL",3802.0
"Keithsburg, IL",573.0
"Winslow, IL",329.0
"Chestnut, IL",
"Cloverdale, IL",
"Tuscola, IL",4391.0
"Herscher, IL",1544.0
"Berlin, IL",178.0
"Elmhurst, IL",46387.0
"McLean, IL",806.0
"Golconda, IL",622.0
"Bluff City, IL",
"Murrayville, IL",565.0
"Kane, IL",409.0
"Carbon Cliff, IL",2014.0
"Chenoa, IL",1747.0
"Lake Barrington, IL",4950.0
"Loda, IL",397.0
"Ransom, IL",371.0
"Forest Park, IL",13982.0
"Maroa, IL",1726.0
"Heyworth, IL",2881.0
"Island Lake, IL",8077.0
"Grand Ridge, IL",530.0
"Pearl, IL",134.0
"Stonington, IL",880.0
"Riverside, IL",8748.0
"Bourbonnais, IL",18499.0
"Klondike, IL",
"Coyne Center, IL",
"Nilwood, IL",230.0
"Littleton, IL",166.0
"El Dara, IL",76.0
"New Minden, IL",205.0
"Nauvoo, IL",1105.0
"Keensburg, IL",205.0
"Oakbrook Terrace, IL",2158.0
"Waterman, IL",1493.0
"Rosemont, IL",4169.0
"Round Lake Heights, IL",2707.0
"Wilsonville, IL",562.0
"Marshall, IL",3878.0
"Saint Joseph, IL",3990.0
"Round Lake, IL",18375.0
"Venice, IL",1905.0
"Flossmoor, IL",9362.0
"Forest City, IL",229.0
"Cottage Hills, IL",
"Alsip, IL",19158.0
"Burnt Prairie, IL",51.0
"Piper City, IL",780.0
"Streamwood, IL",40166.0
"Red Bud, IL",3559.0
"Warrenville, IL",13246.0
"Nashville, IL",3109.0
"Dunfermline, IL",287.0
"Plano, IL",11358.0
"Du Bois, IL",198.0
"Iuka, IL",467.0
"Meredosia, IL",1004.0
"Teutopolis, IL",1587.0
"Standard City, IL",146.0
"Forest View, IL",684.0
"Hampton, IL",1819.0
"Bogota, IL",
"Yorkville, IL",18833.0
"Campus, IL",158.0
"Waggoner, IL",255.0
"Hillview, IL",182.0
"Herod, IL",
"Plattville, IL",259.0
"Woodland, IL",321.0
"Brookport, IL",928.0
"Enfield, IL",581.0
"White Hall, IL",2354.0
"Sterling, IL",14908.0
"Lombard, IL",43815.0
"Sandwich, IL",7358.0
"Nebo, IL",331.0
"Rockdale, IL",1941.0
"Kirkwood, IL",696.0
"Adair, IL",
"Radom, IL",210.0
"Bement, IL",1696.0
"Williamsfield, IL",555.0
"Saint Libory, IL",600.0
"Goreville, IL",1069.0
"Grantfork, IL",328.0
"Troy, IL",10093.0
"Savoy, IL",8177.0
"Wenona, IL",990.0
"Waltonville, IL",434.0
"Chapin, IL",492.0
"Walnut, IL",1338.0
"Orland Hills, IL",7184.0
"Kilbourne, IL",281.0
"East Saint Louis, IL",26922.0
"Swansea, IL",13500.0
"Chillicothe, IL",6206.0
"Vienna, IL",1697.0
"East Galesburg, IL",792.0
"Bridgeview, IL",16248.0
"Wilmington, IL",5691.0
"San Jose, IL",609.0
"Stonefort, IL",294.0
"Ripley, IL",84.0
"Forsyth, IL",3557.0
"Timberlane, IL",952.0
"Sherrard, IL",600.0
"Palos Hills, IL",17410.0
"Seneca, IL",2281.0
"Geneseo, IL",6526.0
"East Cape Girardeau, IL",316.0
"Moline, IL",42250.0
"South Barrington, IL",4915.0
"Middletown, IL",312.0
"West Dundee, IL",7361.0
"Lewistown, IL",2249.0
"Carbondale, IL",26179.0
"Oblong, IL",1421.0
"Penfield, IL",
"Bowen, IL",477.0
"Wheeler, IL",145.0
"Stolle, IL",
"Sawyerville, IL",269.0
"Bartlett, IL",41178.0
"West Chicago, IL",27221.0
"Chemung, IL",
"Rantoul, IL",12815.0
"Villa Grove, IL",2462.0
"Union Hill, IL",56.0
"Stockton, IL",1763.0
"Strawn, IL",96.0
"Leland Grove, IL",1506.0
"Ava, IL",629.0
"Wamac, IL",1132.0
"Ridge Farm, IL",840.0
"Granville, IL",1305.0
"Plato Center, IL",
"Lerna, IL",281.0
"Williams Park, IL",
"Springfield, IL",115715.0
"Ashkum, IL",727.0
"Ladd, IL",1229.0
"Watseka, IL",5007.0
"Saint Charles, IL",32717.0
"Redmon, IL",164.0
"Watson, IL",748.0
"Mount Carroll, IL",1610.0
"Omaha, IL",250.0
"Roscoe, IL",10521.0
"Macedonia, IL",62.0
"Plymouth, IL",483.0
"Pekin, IL",33038.0
"Dorchester, IL",145.0
"New Haven, IL",399.0
"New Berlin, IL",1346.0
"Fandon, IL",
"Loxa, IL",
"Melvin, IL",431.0
"Carol Stream, IL",40069.0
"Delafield, IL",
"Idylside, IL",
"Wayne, IL",2429.0
"Virden, IL",3393.0
"Kaneville, IL",490.0
"Westchester, IL",16563.0
"New Baden, IL",3291.0
"Sainte Marie, IL",241.0
"Toluca, IL",1322.0
"Ware, IL",
"Hoyleton, IL",504.0
"Bentley, IL",34.0
"Wenonah, IL",36.0
"Oakford, IL",280.0
"Bonnie, IL",384.0
"Hawthorn Woods, IL",8164.0
"Trimble, IL",
"Moweaqua, IL",1738.0
"Rentchler, IL",
"Crossville, IL",720.0
"Buda, IL",515.0
"Steeleville, IL",1973.0
"Godley, IL",695.0
"Buckingham, IL",291.0
"Park City, IL",7350.0
"Maeystown, IL",158.0
"Huntley, IL",26611.0
"Herald, IL",
"Arthur, IL",2268.0
"Willisville, IL",602.0
"Hinsdale, IL",17631.0
"Medora, IL",403.0
"Leonore, IL",126.0
"Lyons, IL",10621.0
"Grandwood Park, IL",
"Saint Augustine, IL",118.0
"Skokie, IL",64270.0
"Milledgeville, IL",977.0
"Forrest, IL",1167.0
"Spring Grove, IL",5674.0
"Northlake, IL",12391.0
"Wedges Corner, IL",
"Canton, IL",14094.0
"Richmond, IL",1897.0
"Johnsburg, IL",6264.0
"Louisville, IL",1106.0
"Shawneetown, IL",1156.0
"Depue, IL",1727.0
"Columbus, IL",98.0
"Niles, IL",29617.0
"Junction City, IL",460.0
"Beaverville, IL",341.0
"Geff, IL",
"Braidwood, IL",6157.0
"Prairie View, IL",
"Greenfield, IL",994.0
"Baileyville, IL",
"Byron, IL",3625.0
"Hodgkins, IL",1848.0
"Billett, IL",
"Ina, IL",2335.0
"Cahokia, IL",14260.0
"New Holland, IL",264.0
"Nora, IL",112.0
"Pyatts, IL",
"Glasgow, IL",134.0
"Royal Lakes, IL",
"Hartland, IL",
"Raymond, IL",964.0
"Mounds, IL",737.0
"Lake of the Woods, IL",
"Sparland, IL",385.0
"Boulder Hill, IL",
"Broughton, IL",187.0
"Hanover, IL",800.0
"Compton, IL",285.0
"Mackinaw, IL",1925.0
"Oak Park, IL",51774.0
"Ullin, IL",420.0
"Port Barrington, IL",1494.0
"East Dundee, IL",3182.0
"White City, IL",234.0
"Hollowayville, IL",80.0
"Jeisyville, IL",102.0
"Ingraham, IL",
"Dixon, IL",15135.0
"Green Rock, IL",
"Smithboro, IL",166.0
"Smithfield, IL",222.0
"Wildwood, IL",
"East Moline, IL",21135.0
"South Beloit, IL",7652.0
"Monticello, IL",5585.0
"Kempton, IL",221.0
"Herrin, IL",12950.0
"Marietta, IL",107.0
"Carmi, IL",5105.0
"Hamburg, IL",123.0
"Merrionette Park, IL",1866.0
"Brussels, IL",136.0
"Sims, IL",250.0
"Tampico, IL",750.0
"Edinburg, IL",1043.0
"Momence, IL",3177.0
"Thompsonville, IL",530.0
"Seward, IL",
"Green Oaks, IL",3822.0
"Table Grove, IL",399.0
"Highland Hills, IL",
"Hollywood Heights, IL",
"Holbrook, IL",
"Newton, IL",2790.0
"Lomax, IL",414.0
"Polo, IL",2229.0
"Effingham, IL",12655.0
"French Village, IL",
"Richton Park, IL",13557.0
"Bishop Hill, IL",125.0
"Argenta, IL",908.0
"Machesney Park, IL",22873.0
"Farina, IL",505.0
"Good Hope, IL",377.0
"Aptakisic, IL",
"Scottville, IL",112.0
"Mound City, IL",537.0
"Ledford, IL",
"Ridgefield, IL",
"Bolingbrook, IL",74518.0
"Yates City, IL",664.0
"Highland Park, IL",29641.0
"Jewett, IL",221.0
"Palos Heights, IL",12438.0
"Chana, IL",
"Sidell, IL",582.0
"Rose Hill, IL",79.0
"Batavia, IL",26391.0
"Kildeer, IL",4049.0
"Annawan, IL",855.0
"Hidalgo, IL",105.0
"Homewood, IL",19175.0
"Sailor Springs, IL",92.0
"Ashmore, IL",762.0
"Saint Johns, IL",207.0
"Elkhart, IL",397.0
"Alhambra, IL",657.0
"Ford Heights, IL",2754.0
"Belgium, IL",395.0
"Campbell Hill, IL",321.0
"Ottawa, IL",18289.0
"Sesser, IL",1890.0
"Tonica, IL",732.0
"Tinley Park, IL",56831.0
"West City, IL",650.0
"Shiloh, IL",13011.0
"Oliver, IL",
"Olivet, IL",
"Pierron, IL",554.0
"Clear Lake, IL",226.0
"Reno, IL",
"Mendon, IL",942.0
"Edgewood, IL",427.0
"Phillipstown, IL",43.0
"Adeline, IL",81.0
"Grafton, IL",640.0
"Bluffs, IL",672.0
"Virginia, IL",1498.0
"Allendale, IL",458.0
"Cantrall, IL",137.0
"Hazel Dell, IL",
"Loves Park, IL",23413.0
"Woodhull, IL",784.0
"Lafayette, IL",216.0
"Sorento, IL",458.0
"Lake Bluff, IL",5672.0
"Southern View, IL",1618.0
"Ivanhoe, IL",
"Reynolds, IL",512.0
"Colfax, IL",1036.0
"West Jersey, IL",
"Norris, IL",203.0
"Gridley, IL",1427.0
"Waukegan, IL",88182.0
"Palestine, IL",1321.0
"Kirkland, IL",1732.0
"Henderson, IL",247.0
"Nason, IL",236.0
"Roodhouse, IL",1689.0
"Caseyville, IL",4017.0
"Kangley, IL",243.0
"Paxton, IL",4304.0
"Oak Grove, IL",567.0
"Chicago Heights, IL",30026.0
"Minier, IL",1214.0
"North Barrington, IL",3007.0
"Stewardson, IL",721.0
"South Elgin, IL",22433.0
"Big Rock, IL",1157.0
"Pana, IL",5565.0
"Marion, IL",17826.0
"Itasca, IL",8728.0
"Makanda, IL",544.0
"Rock Falls, IL",8993.0
"Rochester, IL",3762.0
"McLeansboro, IL",2743.0
"Parkersburg, IL",201.0
"Knoxville, IL",2811.0
"Downers Grove, IL",49473.0
"Mulberry Grove, IL",584.0
"Valley City, IL",13.0
"Morrison, IL",4106.0
"Lake Holiday, IL",
"Pontiac, IL",11827.0
"Hoopeston, IL",5140.0
"Donnellson, IL",201.0
"Oregon, IL",3545.0
"Joppa, IL",341.0
"Cambria, IL",1271.0
"Sigel, IL",361.0
"Colchester, IL",1324.0
"Rock Island, IL",38210.0
"Rossville, IL",1261.0
"Shumway, IL",200.0
"Kingston Mines, IL",298.0
"Bridgeport, IL",1770.0
"Browning, IL",126.0
"Ridott, IL",158.0
"Dana, IL",154.0
"Beason, IL",
"La Harpe, IL",1196.0
"Curran, IL",209.0
"Park Forest, IL",21785.0
"Dawson, IL",489.0
"Mascoutah, IL",7963.0
"Schiller Park, IL",11692.0
"La Grange, IL",15610.0
"Sidney, IL",1213.0
"Panama, IL",326.0
"Schaumburg, IL",74446.0
"Springerton, IL",108.0
"McHenry, IL",26611.0
"Pontoosuc, IL",142.0
"Metcalf, IL",179.0
"Robbins, IL",5460.0
"Stronghurst, IL",820.0
"Princeton, IL",7599.0
"Diamond Lake, IL",
"Oak Run, IL",
"Rutland, IL",310.0
"Sumner, IL",3167.0
"Darmstadt, IL",
"Colp, IL",224.0
"Northbrook, IL",33421.0
"Saint David, IL",550.0
"Salem, IL",7241.0
"Greenwood, IL",249.0
"Palmyra, IL",672.0
"Shannon, IL",707.0
"Bismarck, IL",545.0
"Oakley, IL",
"Pulaski, IL",187.0
"Rochelle, IL",9227.0
"Viola, IL",910.0
"Woodridge, IL",33476.0
"Elliott, IL",282.0
"Oak Lawn, IL",56257.0
"Steger, IL",9456.0
"Dongola, IL",704.0
"New Douglas, IL",316.0
"Witt, IL",861.0
"Vermont, IL",647.0
"Mapleton, IL",279.0
"White Heath, IL",
"Raleigh, IL",344.0
"Pearl City, IL",802.0
"Oswego, IL",34571.0
"Mazon, IL",978.0
"Lanark, IL",1363.0
"Mount Olive, IL",2002.0
"New Canton, IL",349.0
"Roanoke, IL",2056.0
"Albany, IL",882.0
"Mount Sterling, IL",1938.0
"Rockwood, IL",40.0
"Bourbon, IL",
"Capron, IL",1345.0
"Pistakee Highlands, IL",
"Wilmette, IL",27219.0
"Timewell, IL",
"Champaign, IL",86637.0
"Christopher, IL",2756.0
"Berkeley, IL",5148.0
"Marine, IL",929.0
"Muddy, IL",68.0
"Belknap, IL",106.0
"Keeneyville, IL",
"University Park, IL",7052.0
"East Hazel Crest, IL",1532.0
"Alpha, IL",644.0
"East Carondelet, IL",467.0
"Harlem, IL",
"Campton Hills, IL",11310.0
"Bradley, IL",15471.0
"Colona, IL",5086.0
"Dakota, IL",475.0
"Herrick, IL",424.0
"Lake Petersburg, IL",
"Assumption, IL",1104.0
"Langleyville, IL",
"Muncie, IL",141.0
"Port Byron, IL",1637.0
"Glen Ellyn, IL",28042.0
"Kaskaskia, IL",13.0
"Odin, IL",1033.0
"Goodwine, IL",
"Washington Park, IL",3955.0
"Sciota, IL",58.0
"Hennepin, IL",692.0
"Farmer City, IL",2005.0
"Davis, IL",639.0
"Shobonier, IL",
"Alvin, IL",
"Olympia Fields, IL",4913.0
"Winnetka, IL",12417.0
"Elizabethtown, IL",279.0
"Gillespie, IL",3190.0
"Murphysboro, IL",7685.0
"Carthage, IL",2546.0
"Urbana, IL",42014.0
"Hindsboro, IL",304.0
"Perry, IL",386.0
"Arcola, IL",2864.0
"Johnston City, IL",3488.0
"Elmwood Park, IL",24626.0
"Boulder, IL",
"Findlay, IL",649.0
"Lake Villa, IL",8783.0
"Walshville, IL",61.0
"Como, IL",
"Grand Chain, IL",
"Latham Park, IL",
"Kankakee, IL",26445.0
"Franklin, IL",590.0
"Ashton, IL",908.0
"Mark, IL",530.0
"Cherry Valley, IL",3087.0
"McNabb, IL",262.0
"Patoka, IL",565.0
"Hometown, IL",4298.0
"Ohlman, IL",129.0
"Parnell, IL",
"Florence, IL",37.0
"Opdyke, IL",
"Batchtown, IL",205.0
"Eldorado, IL",4021.0
"Hampshire, IL",6247.0
"Altamont, IL",2296.0
"Huey, IL",165.0
"Manhattan, IL",7546.0
"Versailles, IL",456.0
"East Dubuque, IL",1632.0
"Coal Valley, IL",3721.0
"Twin Grove, IL",
"Burr Ridge, IL",10780.0
"Tamaroa, IL",606.0
"Lily Lake, IL",1037.0
"Lincolnwood, IL",12527.0
"Holiday Shores, IL",
"Wauconda, IL",13758.0
"Stanford, IL",580.0
"Preston Heights, IL",
"Riverdale, IL",13398.0
"Simpson, IL",61.0
"Limestone, IL",1550.0
"Midland City, IL",
"Robinson, IL",7596.0
"Addieville, IL",241.0
"Crete, IL",8171.0
"Shabbona, IL",933.0
"Oakland, IL",876.0
"Warsaw, IL",1546.0
"South Wilmington, IL",655.0
"Saint Jacob, IL",1218.0
"Channel Lake, IL",
"Bluffside, IL",
"Bureau, IL",
"Crestwood, IL",10891.0
"McCullom Lake, IL",1012.0
"Prairie Grove, IL",1857.0
"Genoa, IL",5194.0
"La Moille, IL",695.0
"Lakewood Shores, IL",
"London Mills, IL",381.0
"Calvin, IL",
"Harristown, IL",1323.0
"Chesterfield, IL",181.0
"Triumph, IL",
"Morrisonville, IL",1020.0
"Dennison, IL",
"Iola, IL",137.0
"Tallula, IL",484.0
"Bartonville, IL",6332.0
"Fairview Heights, IL",16686.0
"Gilman, IL",1731.0
"Winchester, IL",1503.0
"Bellflower, IL",346.0
"Crystal Lawns, IL",
"New Hartford, IL",
"Tunnel Hill, IL",
"Zion, IL",24029.0
"Bellmont, IL",269.0
"Hammond, IL",488.0
"Thawville, IL",263.0
"Cowden, IL",578.0
"Brownstown, IL",738.0
"West Salem, IL",871.0
"North Glen Ellyn, IL",
"Venedy, IL",132.0
"Old Ripley, IL",101.0
"Eastwood Manor, IL",
"Grandview, IL",1423.0
"Energy, IL",1142.0
"Tiskilwa, IL",785.0
"Del Mar Woods, IL",
"Strasburg, IL",445.0
"Sublette, IL",425.0
"Franklin Grove, IL",958.0
"South Pekin, IL",1113.0
"Magnolia, IL",250.0
"Sauget, IL",151.0
"Gages Lake, IL",
"Creal Springs, IL",532.0
"Fox River Grove, IL",4651.0
"Grand Detour, IL",
"Shorewood, IL",16948.0
"Lena, IL",2800.0
"Calumet City, IL",36732.0
"Millburn, IL",
"Belle Prairie City, IL",52.0
"Boody, IL",
"Chatsworth, IL",1140.0
"Glencoe, IL",8894.0
"Marquette Heights, IL",2720.0
"Wheaton, IL",53389.0
"Long Point, IL",216.0
"Savanna, IL",2859.0
"Albion, IL",1934.0
"Hinckley, IL",2057.0
"Balcom, IL",
"Imbs, IL",
"Amboy, IL",2333.0
"Elvaston, IL",161.0
"New Grand Chain, IL",194.0
"North Park, IL",
"Freeman Spur, IL",290.0
"De Land, IL",428.0
"Annapolis, IL",
"Poplar Grove, IL",5054.0
"Hecker, IL",489.0
"Utica, IL",
"Wedron, IL",
"Ivesdale, IL",265.0
"West York, IL",
"Villa Park, IL",21882.0
"Williamson, IL",224.0
"Eldred, IL",189.0
"Clayton, IL",739.0
"Ridgway, IL",807.0
"Holiday Hills, IL",588.0
"Philo, IL",1442.0
"Ringwood, IL",818.0
"Maunie, IL",137.0
"Alexis, IL",799.0
"Summerfield, IL",398.0
"Schram City, IL",562.0
"Wheeling, IL",38315.0
"Hooppole, IL",200.0
"Fairmont, IL",
"Bethalto, IL",9328.0
"Kings, IL",
"Wilson, IL",
"Symerton, IL",89.0
"Ursa, IL",618.0
"North Riverside, IL",6598.0
"Esmond, IL",
"Ashley, IL",501.0
"Topeka, IL",71.0
"Woodworth, IL",
"Kewanee, IL",12458.0
"Prairie du Rocher, IL",567.0
"Bedford Park, IL",582.0
"Lovington, IL",1092.0
"Gard, IL",
"Illinois City, IL",
"Franklin Park, IL",18110.0
"Cerro Gordo, IL",1363.0
"Highwood, IL",5324.0
"Liberty, IL",510.0
"Chesterville, IL",
"Junction, IL",121.0
"Claremont, IL",172.0
"Knollwood, IL",
"Glasford, IL",995.0
"Vera, IL",
"Bulpitt, IL",213.0
"Bartelso, IL",603.0
"East Peoria, IL",22939.0
"Foosland, IL",100.0
"Coulterville, IL",906.0
"Wilton Center, IL",
"Saint Francisville, IL",652.0
"Trout Valley, IL",525.0
"Buffalo, IL",483.0
"Lake Summerset, IL",
"Chebanse, IL",1011.0
"Brownfield, IL",
"Dayton, IL",
"Gilberts, IL",7724.0
"Bluford, IL",673.0
"Wadsworth, IL",3714.0
"Allenville, IL",144.0
"Crest Hill, IL",21169.0
"Haldane, IL",
"Davis Junction, IL",2249.0
"Gibson City, IL",3378.0
"Winfield, IL",9637.0
"Delavan, IL",1634.0
"Meadowbrook, IL",
"Reevesville, IL",
"Hutsonville, IL",543.0
"Mill Creek, IL",63.0
"Lincoln, IL",13969.0
"Borton, IL",
"Blue Island, IL",23401.0
"Xenia, IL",380.0
"Saint Anne, IL",1209.0
"Tremont, IL",2156.0
"Flat Rock, IL",323.0
"Hastings, IL",
"Swanwick, IL",
"Glendale Heights, IL",34145.0
"Auburn, IL",4752.0
"Catlin, IL",1981.0
"Brimfield, IL",847.0
"Lawndale, IL",
"New Boston, IL",643.0
"Sun River Terrace, IL",514.0
"Dieterich, IL",612.0
"Maple Park, IL",1304.0
"Patterson, IL",
"Alton, IL",26861.0
"Winnebago, IL",3002.0
"Matherville, IL",673.0
"Tennessee, IL",110.0
"Manlius, IL",344.0
"La Grange Park, IL",13483.0
"Nokomis, IL",2156.0
"Decatur, IL",72706.0
"Sheridan, IL",2711.0
"Worden, IL",1029.0
"Aroma Park, IL",704.0
"Tower Hill, IL",586.0
"Raritan, IL",130.0
"Seatonville, IL",307.0
"Romeoville, IL",39706.0
"Matteson, IL",19097.0
"Stone Park, IL",4883.0
"Garden Prairie, IL",
"Roachtown, IL",
"Loami, IL",749.0
"Sadorus, IL",413.0
"Palos Park, IL",4838.0
"Cottonwood, IL",
"Elco, IL",
"Carbon Hill, IL",344.0
"Carlyle, IL",3208.0
"Paris, IL",8418.0
"New Athens, IL",1934.0
"Goodfield, IL",983.0
"Evergreen Park, IL",19637.0
"Worth, IL",10681.0
"Arenzville, IL",385.0
"Rondout, IL",
"Deer Creek, IL",675.0
"Homer, IL",1179.0
"Norridge, IL",14498.0
"Buffalo Grove, IL",41346.0
"Loraine, IL",309.0
"Sammons Point, IL",273.0
"Creve Coeur, IL",5230.0
"Gorham, IL",231.0
"Warrensburg, IL",1152.0
"Gladstone, IL",275.0
"Chadwick, IL",523.0
"Millstadt, IL",3878.0
"Floraville, IL",
"Humboldt, IL",429.0
"Ipava, IL",440.0
"Sullivan, IL",4475.0
"Manteno, IL",8969.0
"Little York, IL",328.0
"Camden, IL",79.0
"Shelbyville, IL",4576.0
"Jerome, IL",1634.0
"Burnham, IL",4170.0
"Gulfport, IL",51.0
"Sparta, IL",4374.0
"North Aurora, IL",17426.0
"Wapella, IL",538.0
"Evansville, IL",668.0
"Cullom, IL",524.0
"Durand, IL",1404.0
"Aurora, IL",201110.0
"Macomb, IL",18352.0
"Harvard, IL",9119.0
"Hoffman Estates, IL",51738.0
"Rockford, IL",147651.0
"Waverly, IL",1249.0
"Kenney, IL",320.0
"Carlinville, IL",5632.0
"Anchor, IL",144.0
"Sugar Grove, IL",9573.0
"Round Lake Park, IL",7519.0
"Modesto, IL",182.0
"Ellisville, IL",92.0
"Lancaster, IL",
"Hettick, IL",174.0
"Patton, IL",
"Woodson, IL",494.0
"South Chicago Heights, IL",4102.0
"Mount Carmel, IL",6993.0
"Stockland, IL",
"Glen Carbon, IL",12978.0
"Monmouth, IL",9210.0
"Inverness, IL",7541.0
"Brooklyn, IL",709.0
"Mount Prospect, IL",54171.0
"Mansfield, IL",876.0
"Fulton, IL",3333.0
"Sunfield, IL",
"Hookdale, IL",
"Germantown, IL",1286.0
"Benson, IL",425.0
"Flora, IL",4898.0
"Round Lake Beach, IL",27776.0
"Brocton, IL",298.0
"Wellington, IL",231.0
"Bethany, IL",1305.0
"Divernon, IL",1144.0
"Livingston, IL",823.0
"Richview, IL",238.0
"Saint Peter, IL",355.0
"Kampsville, IL",314.0
"Westville, IL",3059.0
"Atkinson, IL",945.0
"Darwin, IL",
"Le Roy, IL",3550.0
"Staunton, IL",5044.0
"Barrington Woods, IL",
"Dahlgren, IL",497.0
"Mulkeytown, IL",
"Alma, IL",313.0
