city,population_proper
"Mabton, WA",2295.0
"Klickitat, WA",
"Puyallup, WA",40640.0
"Cinebar, WA",
"San de Fuca, WA",
"Cathlamet, WA",545.0
"Richardson, WA",
"Sumner, WA",9969.0
"Davenport, WA",1688.0
"Cliffdell, WA",
"Fall City, WA",
"Dockton, WA",
"Conway, WA",
"Marshall, WA",
"Walla Walla, WA",32132.0
"Canterwood, WA",
"Lexington, WA",
"Country Homes, WA",
"Altoona, WA",
"South Cle Elum, WA",547.0
"Waldron, WA",
"Chesaw, WA",
"Sunnyslope, WA",
"Olympic View, WA",
"Hood, WA",
"Elbe, WA",
"Venice, WA",
"Cumberland, WA",
"Ostrander, WA",
"Cohassett Beach, WA",
"Deming, WA",
"Sekiu, WA",
"Terrace Heights, WA",
"Nemah, WA",
"Neilton, WA",
"Grays River, WA",
"Ashford, WA",
"Boistfort, WA",
"Almira, WA",267.0
"Bothell, WA",44546.0
"South Broadway, WA",
"Edwall, WA",
"Georgetown, WA",
"Maryhill, WA",
"Huntsville, WA",
"Greenbank, WA",
"Murphys Corner, WA",
"Tokeland, WA",
"Felida, WA",
"Fairview, WA",
"Tumwater, WA",22538.0
"Uniontown, WA",333.0
"Coupeville, WA",1920.0
"River Road, WA",
"Duvall, WA",7701.0
"Marcus, WA",187.0
"Seattle Heights, WA",
"Strandell, WA",
"Key Center, WA",
"Grand Mound, WA",
"Taholah, WA",
"Port Blakely, WA",
"Malone, WA",
"Boston Harbor, WA",
"Rainier, WA",2011.0
"Menlo, WA",
"Azwell, WA",
"Glendale, WA",
"Monroe, WA",18408.0
"Sawyer, WA",
"Clarkston, WA",7341.0
"Spanaway, WA",
"Gig Harbor, WA",9110.0
"Big Lake, WA",
"Smyrna, WA",
"Carlton, WA",
"Monitor, WA",
"Des Moines, WA",31172.0
"Carlisle, WA",
"Metaline Falls, WA",242.0
"Breidablick, WA",
"Snohomish, WA",9915.0
"Richland, WA",54989.0
"Parkland, WA",
"Veradale, WA",
"Kummer, WA",
"Woodland, WA",5952.0
"Washougal, WA",15466.0
"Boyds, WA",
"Bonney Lake, WA",20310.0
"South Prairie, WA",435.0
"Larimers Corner, WA",
"Porter, WA",
"Lisabeula, WA",
"Saint John, WA",558.0
"Spokane Valley, WA",96340.0
"Bellevue, WA",141400.0
"Custer, WA",
"Orcas, WA",
"Diablo, WA",
"Christopher, WA",
"Midvale Corner, WA",
"Marysville, WA",67626.0
"Newcastle, WA",11567.0
"North Bend, WA",6739.0
"Three Lakes, WA",
"Kendall, WA",
"Kanaskat, WA",
"Wilbur, WA",835.0
"Enumclaw, WA",11654.0
"Nile, WA",
"Alderwood Manor, WA",
"Clarkston Heights, WA",
"Pacific Beach, WA",
"Napavine, WA",1868.0
"Hatton, WA",100.0
"Shelton, WA",9980.0
"Chimacum, WA",
"Naselle, WA",
"Grotto, WA",
"Bellingham, WA",87574.0
"Castle Rock, WA",2212.0
"Pine City, WA",
"Nooksack, WA",1525.0
"Elma, WA",3053.0
"Kenmore, WA",22357.0
"Ellensburg, WA",19786.0
"Belmont, WA",
"DuPont, WA",9497.0
"Long Beach, WA",1389.0
"Seabeck, WA",
"Granite Falls, WA",3525.0
"Tonasket, WA",1013.0
"Otis Orchards, WA",
"Milton, WA",7970.0
"West Pasco, WA",
"Badger, WA",
"Lamont, WA",73.0
"Ravensdale, WA",
"Rollingbay, WA",
"Rocky Point, WA",
"Garrett, WA",
"Grayland, WA",
"Gilberton, WA",
"Withrow, WA",
"Stanwood, WA",7009.0
"Sudden Valley, WA",
"Meridian, WA",
"Aberdeen Gardens, WA",
"Possession, WA",
"Benton City, WA",3276.0
"Bickleton, WA",
"Elmer City, WA",239.0
"Doty, WA",
"East Wenatchee, WA",13968.0
"Newman Lake, WA",
"Freeland, WA",
"Indianola, WA",
"Cowiche, WA",
"Husum, WA",
"Pataha, WA",
"Lamona, WA",
"Skokomish, WA",
"Vaughn, WA",
"Ruby, WA",
"Bryant, WA",
"Coalfield, WA",
"Swede Heaven, WA",
"Spokane, WA",215973.0
"Brady, WA",
"Spring Glen, WA",
"Hoodsport, WA",
"Leavenworth, WA",1994.0
"Tanglewilde, WA",
"Bow, WA",
"Carlsborg, WA",
"North Lynnwood, WA",
"Cedar Falls, WA",
"Chelan, WA",4108.0
"Wilson Creek, WA",210.0
"Latah, WA",187.0
"Brownsville, WA",
"Amber, WA",
"Zenith, WA",
"Goodnoe Hills, WA",
"Camas, WA",22449.0
"Olalla, WA",
"Basin City, WA",
"Blaine, WA",5164.0
"Oroville, WA",1677.0
"Orchards, WA",
"Union Gap, WA",6110.0
"Mead, WA",
"Manzanita, WA",
"Pasco, WA",70579.0
"Touchet, WA",
"Pe Ell, WA",643.0
"Sappho, WA",
"Hunters, WA",
"Gleed, WA",
"Fairfield, WA",605.0
"Torboy, WA",
"Cashmere, WA",3162.0
"Willapa, WA",
"Issaquah, WA",37322.0
"Toppenish, WA",8973.0
"Finley, WA",
"Darrington, WA",1385.0
"Picnic Point, WA",
"Aeneas, WA",
"Cedarhurst, WA",
"Four Lakes, WA",
"Dayton, WA",2427.0
"Port Madison, WA",
"Orting, WA",7693.0
"Wheeler, WA",
"Fircrest, WA",6780.0
"Lebam, WA",
"Marrowstone, WA",
"North Puyallup, WA",
"Five Corners, WA",
"Graham, WA",
"Longview Heights, WA",
"Hobart, WA",
"Point Roberts, WA",
"Town and Country, WA",
"Lake Hills, WA",
"Rosedale, WA",
"Irondale, WA",
"Dishman, WA",
"Bayview, WA",
"Conconully, WA",213.0
"Entiat, WA",1208.0
"Lochsloy, WA",
"Brinnon, WA",
"Seahurst, WA",
"Dixie, WA",
"Eastgate, WA",
"Blockhouse, WA",
"Buena, WA",
"Grapeview, WA",
"Startup, WA",
"Hayford, WA",
"Westport, WA",2035.0
"Southworth, WA",
"Twisp, WA",952.0
"Milan, WA",
"Ritzville, WA",1626.0
"Lake Goodwin, WA",
"McMurray, WA",
"Portage, WA",
"Lake Bosworth, WA",
"Fords Prairie, WA",
"Carson, WA",
"Mount Vista, WA",
"Vancouver, WA",174826.0
"Chelan Falls, WA",
"Espanola, WA",
"Battle Ground, WA",20110.0
"Summitview, WA",
"Geneva, WA",
"Queets, WA",
"Wollochet, WA",
"College Place, WA",9142.0
"Garfield, WA",611.0
"Ruff, WA",
"Bell Hill, WA",
"Glenwood, WA",
"Riverbend, WA",
"Samish, WA",
"Trout Lake, WA",
"Mount Vernon, WA",34590.0
"Ferndale, WA",13403.0
"Hansville, WA",
"Wickersham, WA",
"White Salmon, WA",2473.0
"Oysterville, WA",
"Aberdeen, WA",16334.0
"Melbourne, WA",
"Plymouth, WA",
"Winlock, WA",1337.0
"Satsop, WA",
"Merritt, WA",
